690	1262724	1268390
692	1268499	1268925
694	1269034	1269460
696	1269569	1269971
699	1271073	1272468
701	1272823	1274401
704	1276842	1286288
705	1286552	1286760
706	1286846	1287004
707	1287848	1287896
711	1288356	1291731
713	1292146	1294668
717	1297345	1304844
719	1306670	1307039
720	1308294	1308592
722	1308890	1309871
723	1310271	1310374
725	1311688	1312741
726	1313795	1313879
727	1314060	1314439
730	1321107	1325790
732	1327137	1328440
737	1328693	1336593
741	1337185	1341133
742	1341353	1341620
743	1342371	1342459
744	1342634	1342780
746	1344767	1345001
747	1346937	1347003
748	1348132	1348274
749	1349064	1349430
750	1355135	1355446
751	1355693	1355825
752	1357212	1357513
755	1358933	1364958
760	1365937	1380986
763	1381986	1386328
765	1386836	1387893
766	1388623	1388956
769	1389878	1392914
772	1393947	1395695
773	1396647	1396797
774	1397551	1397744
776	1402590	1403675
778	1403834	1404586
782	1405820	1409036
783	1411477	1411554
784	1411952	1412007
785	1415411	1415511
787	1416254	1417179
788	1417481	1417788
793	1418266	1425769
795	1426751	1431107
796	1431699	1432014
797	1432282	1433208
798	1433644	1433783
800	1434918	1435283
802	1438809	1439344
803	1439768	1439877
805	1440868	1444401
807	1445308	1447099
808	1449374	1449620
811	1451667	1463188
812	1463255	1465944
817	1467174	1480278
822	1480885	1489466
824	1489531	1489945
827	1490154	1492171
832	1493096	1497492
836	1498474	1502928
839	1504105	1506857
843	1507089	1515122
846	1515219	1515905
849	1516871	1518986
851	1521090	1522504
857	1524005	1531305
859	1531876	1532988
860	1533883	1533960
861	1542085	1542407
862	1542744	1544311
864	1545194	1550421
865	1550707	1550851
866	1551863	1551995
867	1553694	1553849
868	1553988	1554088
870	1554305	1555135
871	1561101	1561357
872	1565165	1565527
873	1566848	1566977
874	1568514	1568668
875	1570070	1570430
876	1577367	1577656
877	1578815	1578865
878	1580549	1580949
879	1581712	1581785
880	1581984	1582230
881	1584511	1584843
882	1585759	1585816
883	1586864	1588877
884	1590467	1596640
885	1598234	1598311
887	1599266	1606131
888	1607047	1607252
889	1608705	1608930
890	1609879	1609989
894	1612728	1616266
896	1616933	1618261
899	1619162	1620840
900	1620939	1620983
901	1621875	1622128
903	1622522	1623358
907	1625405	1627476
910	1628938	1632333
912	1633872	1635632
913	1635807	1635977
914	1636134	1636478
915	1636692	1637053
916	1638610	1639362
918	1639579	1640512
919	1642329	1642674
920	1642927	1643142
921	1643299	1643369
924	1643897	1645643
929	1645875	1650919
930	1653166	1653370
932	1653698	1654770
936	1655482	1664547
937	1665244	1665367
938	1666589	1666722
941	1667617	1670843
943	1671526	1672995
946	1675928	1679718
949	1680055	1683208
950	1684613	1684754
953	1686402	1689609
954	1694096	1694485
955	1695077	1695296
956	1696065	1696175
959	1697205	1701291
966	1702333	1713049
967	1713914	1713971
968	1715247	1715374
969	1716032	1716089
970	1716420	1716516
972	1717627	1718413
974	1718849	1722157
978	1723945	1731777
981	1732126	1734144
982	1735315	1735479
984	1735570	1736889
987	1737823	1740624
989	1741267	1742894
992	1744152	1746770
993	1752502	1752955
996	1753166	1755744
997	1756750	1756897
998	1762411	1762736
999	1762805	1762957
1000	1763147	1763245
1007	1766710	1776413
1009	1777326	1782757
1013	1785137	1787831
1014	1790045	1790290
1015	1793177	1793276
1016	1796967	1797249
1017	1797774	1797825
1018	1798024	1798119
1020	1800595	1803348
1024	1804108	1806720
1028	1807258	1810352
1029	1811157	1811444
1031	1811688	1814409
1032	1816525	1816628
1033	1819239	1819322
1034	1819644	1819941
1037	1820281	1822385
1038	1822962	1823163
1039	1823650	1823978
1043	1830007	1838806
1045	1839428	1839886
1047	1840160	1841854
1048	1842896	1843022
1049	1846033	1846148
1052	1846701	1850644
1053	1852004	1852119
1054	1852879	1853014
1055	1859357	1859725
1058	1860454	1862805
1059	1863661	1863749
1063	1864497	1872101
1065	1872207	1872778
1067	1873601	1875301
1069	1875557	1877030
1070	1877280	1877426
1071	1877973	1878144
1072	1878784	1878909
1075	1879834	1884887
1076	1886016	1886084
1077	1887771	1887974
1080	1891260	1892575
1084	1892756	1898052
1087	1899610	1904274
1088	1905085	1905249
1089	1905460	1905471
1090	1905616	1906284
1091	1906573	1906646
1093	1906791	1907331
1095	1908124	1909718
1096	1910601	1910791
1097	1913559	1913654
1102	1914153	1920336
1104	1920994	1921187
1105	1921309	1921388
1108	1922994	1924802
1109	1926864	1927071
1110	1927732	1928057
1112	1928772	1930138
1113	1932629	1932862
1116	1934339	1937245
1117	1938218	1938336
1119	1940608	1942369
1120	1944001	1944138
1122	1944205	1944878
1123	1946657	1946773
1126	1948547	1952601
1127	1956157	1956543
1130	1957871	1960603
1131	1964216	1964416
1132	1970716	1970859
1133	1975164	1975289
1134	1976222	1976541
1136	1977240	1978211
1137	1980412	1980577
1139	1984153	1985530
1140	1985783	1985896
1143	1985984	1987274
1145	1987515	1988977
1146	1989644	1989838
1147	1990142	1990292
1149	1993384	1994133
1150	1994857	1995085
1151	1997505	1997608
1152	1998410	1998496
1153	1999814	2000133
1156	2001631	2005700
1160	2006115	2010723
1164	2011039	2022658
1166	2022848	2023250
1168	2023338	2024346
1169	2026042	2026211
1170	2026395	2026472
1172	2027391	2028471
1175	2031509	2034817
1180	2036848	2041491
1186	2041582	2056050
1188	2057715	2057987
1189	2058939	2059039
1191	2059958	2060414
1192	2061348	2061411
1193	2063789	2064328
1194	2065346	2066975
1198	2068205	2077055
1199	2077386	2077556
1200	2078616	2078812
1201	2079287	2079404
1203	2080572	2082249
1204	2083550	2083727
1205	2085139	2085352
1206	2087153	2087234
1209	2087738	2095344
1210	2096326	2096470
1211	2097638	2097885
1212	2099293	2099918
1213	2100936	2101414
1214	2111086	2111457
1215	2112352	2112525
1216	2116429	2116703
1217	2127675	2127684
1218	2131422	2131513
1220	2135268	2137782
1221	2140240	2140330
1223	2140973	2144715
1225	2145565	2147062
1227	2149010	2149734
1229	2151153	2151372
1231	2151433	2151704
1235	2151762	2165325
1236	2165545	2166012
1239	2166331	2169856
1240	2170898	2170944
1241	2175227	2175533
1243	2176587	2180056
1244	2183324	2183545
1247	2183819	2185401
1248	2190245	2190536
1249	2190819	2191080
1254	2192191	2209747
1257	2212667	2213766
1258	2217504	2217713
1260	2220012	2221959
1261	2222893	2223065
1263	2223654	2224530
1265	2225293	2227459
1270	2228408	2234764
1271	2238371	2238649
1272	2239691	2239831
1274	2241675	2242799
1275	2244792	2245084
1276	2246555	2246758
1278	2247641	2250916
1279	2252168	2252266
1281	2253209	2254106
1282	2255358	2255450
1283	2257319	2257740
1285	2261518	2263062
1291	2263318	2275914
1292	2276260	2276591
1295	2278506	2280961
1297	2281970	2287086
1299	2288104	2289379
1302	2301520	2303129
1303	2304777	2304993
1304	2308428	2308500
1305	2309557	2309667
1308	2310772	2315048
1311	2317899	2325388
1312	2327820	2332357
1313	2334667	2334814
1315	2337443	2338438
1318	2342192	2346843
1319	2347495	2347956
1322	2350397	2356063
1323	2358175	2358230
1324	2360234	2360452
1325	2361656	2361754
1327	2362298	2363039
1329	2363643	2371293
1330	2371561	2371669
1331	2377282	2377369
1332	2378666	2378743
1335	2379566	2382016
1338	2383745	2385731
1341	2386449	2388069
1342	2391064	2391226
1343	2401868	2401972
1344	2403095	2403724
1347	2404664	2407541
1348	2409375	2409460
1349	2410617	2410698
1352	2411155	2416655
1353	2417811	2417862
1355	2418508	2420670
1356	2421562	2421757
